Word,Score
noles,5.758692992
melas,5.699845785
waist,5.028811526
ohias,5.288055936
mummy,2.551908939
shakt,4.861666439
plume,4.565866071
azurn,4.213808087
aiyee,4.741454275
rewth,4.497516698
linum,4.414291682
jembe,3.321432227
porch,4.3772922
moron,4.191434818
vaute,4.799120604
wahoo,3.645009605
raile,5.740064833
gimpy,3.900466343
linac,4.850954472
gyoza,3.835850246
sword,4.798980994
cooey,4.334950336
knurs,4.750279019
safes,4.952295541
mites,5.533728272
eathe,4.504044884
easle,5.068882869
zeals,5.199527873
bunjy,3.370377551
claes,5.73947396
alkos,5.185493323
boxed,4.135326462
lammy,3.918490511
braks,5.005281906
begem,3.805191194
ghyll,3.176849855
unbid,4.091639604
taxus,4.713225675
sigil,4.229798762
crepy,4.556512957
emove,3.634456934
sists,3.979965621
beany,4.902706286
kants,5.255878711
cardy,4.810723844
tiros,5.653858896
octas,5.199765702
sowne,5.208740817
simis,3.845670662
chons,4.816193756
rhyta,4.59989359
bases,5.086183541
bitsy,4.58255681
grrls,4.376537512
innit,3.228240544
reefs,4.656471439
trant,4.477940763
hushy,3.539563764
grill,3.966360758
vexer,3.436693011
posed,5.227139778
treat,4.779811084
rello,4.585171903
kutch,3.73734618
yahoo,3.86080464
sibbs,3.605880972
annul,4.021040897
vertu,4.507120861
unsew,4.580259099
tatou,4.276431626
dewed,3.316914079
stour,5.169316877
gamut,4.469090846
vlogs,4.443806458
lemme,3.642907649
cheth,3.708874663
parrs,4.874623055
sclim,4.716586654
genty,4.640404221
input,4.218530285
boppy,3.386632666
lefte,4.213395485
broch,4.171416108
stroy,5.15784884
cauls,5.320619696
ribby,3.623608426
auger,5.062955238
urena,5.141081606
belly,3.954575371
suite,5.564573961
crops,5.051585988
pedal,5.031356137
decor,4.958577198
grovy,3.955278051
kynde,4.340682615
hydro,4.253917581
fusil,4.498866864
curli,4.652392616
chasm,4.506382072
dotal,5.057685348
matts,4.665308409
blain,4.798118989
wadds,4.167725193
tares,6.194052544
koori,4.081941884
fleam,4.563338564
linin,3.369336871
lifer,4.877333697
zoril,4.473909926
tyres,5.555557931
brane,5.235441709
galea,4.662557445
gored,5.102118394
tuktu,2.730353455
serre,4.547475203
roded,4.529977442
dress,4.877469756
seven,4.463817218
files,5.323386513
thumb,3.71773832
yites,5.440209692
lazes,5.280026151
heads,5.42226836
oyers,5.339245911
shirk,4.727272937
nudie,4.86301681
tondo,4.108416466
glace,4.902310698
snath,5.126325373
fetts,4.388210315
psalm,4.696374037
piccy,3.427582467
towze,4.149558441
cajon,4.192315748
teels,5.095081791
wenny,3.711005868
clews,4.782154429
penne,3.723181335
goose,4.570269001
spook,3.988554883
spugs,3.928435615
warms,5.063754616
mouse,5.175040677
sasin,4.968780367
